,codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
133,KWB9798 - APOIO VAN,KWB9798,0,-22.965325,-43.391771,1690387058000,0.0,,,,3285.3,337
134,90006,LRH6D12,10,-23.018183,-43.481015,1690387199000,49.9,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],29878.4,75
135,30531,LRC6592,12,-22.968679,-43.621807,1690387183000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],40783.9,74
136,30524,LRC6601,25,-23.010177,-43.44944,1690387199000,53.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],29396.8,75
137,12731,,18,-22.92059,-43.607899,1690383688000,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],39930.9,287
138,86870,LSC9364,0,-22.919654,-43.608503,1690383705000,0.0,,,,3175.4, 
139,13415,KQK7905,25,-23.001825,-43.365949,1690384621000,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],45238.6, 
140,10306,KQP6773,19,-22.919442,-43.607595,1683581133000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],13633.6, 
141,901002,,22,-23.006542,-43.315463,1690385778000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],17468.7, 
142,902103,,35,-22.876444,-43.329769,1690383222000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],12129.9, 
143,B13,KYM5979,14,-23.008137,-43.440433,1690384536000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1224.6, 
144,B16,LSI3468,14,-23.008033,-43.440458,1690384312000,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1237.0, 
145,B35,LTI1196,14,-23.008073,-43.440563,1690384282000,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1189.1, 
146,B17,KWY8231,14,-23.008059,-43.440786,1690384792000,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1351.5, 
147,B18,KRK9729,14,-23.007996,-43.439827,1690384738000,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1237.5, 
148,B20,LMH6141,14,-23.008422,-43.441021,1690386048000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1243.9, 
149,B19,KZJ7238,14,-23.007618333333333,-43.440635,1690385400000,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],105092.4,45
150,B09,KRP3042,17,-22.81525333333333,-43.18835666666666,1683056061000,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR),133560.5,270
151,B32,KYR8913,14,-22.961444,-43.648623,1690383689000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],208.5, 
152,B27,LRK9551,14,-22.96180333333333,-43.64848833333333,1684848519000,2.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE,594528.6,135
153,B14,KRK9519,14,-23.008438,-43.440658,1690384996000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1237.6, 
154,B06,LMS3036,17,-22.81576,-43.18839333333333,1683028873000,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR),26287.0,90
155,B11,KRK9516,14,-23.008321,-43.440725,1690385608000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1326.6, 
156,B12,LMH5981,14,-23.008355,-43.440783,1690385480000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1256.4, 
157,B24,LSO7028,14,-23.008495,-43.440918,1690383847000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1287.0, 
158,B25,,14,-23.008446,-43.440794,1690383868000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1208.6, 
159,B28,KQP5E29,14,-23.007987,-43.440093,1690384320000,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1250.4, 
160,B40,,14,-23.008253,-43.440748,1690385756000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],849.1, 
161,B41,,14,-23.008169,-43.440937,1690386060000,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1283.2, 
162,901001,RJD7J89,22,-23.006499,-43.315233,1690385804000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],17404.3, 
163,B47,,14,-23.008362,-43.440934,1690384106000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1283.6, 
164,B048,,14,-22.96112,-43.647996,1690386085000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1302.0, 
165,B49,,14,-23.008307,-43.440957,1690383807000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1239.5, 
166,B50,,19,-23.007954,-43.440065,1690384456000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],1115.1, 
167,B52,,14,-22.96151,-43.648549,1690381534000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1141.1,185
168,B54,,14,-22.961585,-43.648526,1690386789000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1314.3, 
169,B55,,14,-23.008432,-43.44088,1690385504000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1225.4, 
170,B53,,14,-23.008313,-43.440903,1690385575000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1302.4, 
171,B51,,14,-23.00834,-43.440742,1690385492000,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1298.4, 
172,901050,,53,-22.96453,-43.391976,1690387140000,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],24380.6, 
173,901077,,52,-22.96491,-43.391387,1690383383000,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],26544.7,69
174,903045,,17,-22.919185,-43.607777,1690384896000,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],25845.1, 
175,902119,,35,-22.926026,-43.37376,1690387180000,36.5,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7828.8,175
176,901058,,22,-22.965221,-43.391096,1690380890000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],44291.6, 
177,902105,,35,-22.922804,-43.373083,1690387198000,33.1,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],10306.9,75
178,901071,,22,-23.001032,-43.367506,1690386401000,0.0,,volta,,43534.3, 
179,903027,,50,-23.00043,-43.338708,1690387199000,58.5,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],49749.4,93
180,901066,,22,-23.006615,-43.313819,1690384181000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],50112.9, 
181,903026,,50,-23.006527,-43.314415,1690387184000,34.5,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],49088.0,273
182,903029,,50,-22.973307,-43.376422,1690387181000,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],33641.9,76
183,902116,,35,-22.972543,-43.40166,1690385934000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],11268.3, 
